SourceSubnet,Out_perc,In_perc
213,8.09755,64.0156
160,1.33462,5.32676
256,0.398056,4.54471
28,2.28102,0.0219817
117,0.184333,1.40876
49,0.292186,1.16685
210,0.534101,0.203134
124,0.0631686,0.52184
132,0.0304171,0.544732
123,0.0361096,0.437789
2,0.0033898,0.44676
133,0.0354824,0.392436
112,0.031623,0.355375
134,0.0263122,0.3469
131,0.0321813,0.33702
228,0.0234577,0.345167
171,0.0314456,0.332122
161,0.0328454,0.325637
98,0.027624,0.317265
195,0.0294071,0.305364
128,0.0310526,0.298843
229,0.0295271,0.29979
127,0.0279106,0.300193
70,0.0205868,0.305718
65,0.252067,0.0287743
46,0.0249539,0.218425
73,0.0288032,0.186864
197,0.0255476,0.123713
16,0.0215367,0.111966
79,0.0663835,0.0618262
81,0.0411555,0.0869827
48,0.0143131,0.10702
235,0.00682787,0.0901061
143,0.00337996,0.0881088
169,0.0179942,0.0734385
119,0.0125821,0.0715153
184,0.0150838,0.0643729
90,0.0113713,0.0519569
74,0.0123065,0.0494847
7,0.00730916,0.0515772
165,0.0178414,0.0405045
198,0.00422074,0.0531263
154,0.00961376,0.0406854
236,0.0142281,0.0351206
91,0.00290245,0.044192
51,0.0131866,0.0338478
129,0.0107861,0.0353113
118,0.00895109,0.0369713
85,0.0123161,0.033212
191,0.00131401,0.0409303
181,0.0057111,0.0351342
130,0.00865288,0.0316548
149,0.00250082,0.0368367
89,0.0107087,0.0276043
246,0.00469329,0.0294182
221,0.00536081,0.0260396
141,0.00274097,0.0274424
82,0.00465362,0.0247621
168,0.0124491,0.0154179
234,0.00711062,0.0186495
83,0.00595437,0.0194504
44,0.00113336,0.0239658
170,0.00284991,0.0185166
206,0.00147177,0.0198306
215,0.0054515,0.0146515
54,0.00272907,0.0173103
146,0.00276143,0.0169588
57,0.0044042,0.0152919
156,0.00932196,0.0101571
125,0.0024624,0.0167845
47,0.000889034,0.018235
204,0.00153385,0.0171866
225,0.00324683,0.0147032
50,0.000743089,0.0168887
120,0.00183903,0.0152641
222,0.00446831,0.0122571
56,0.00291018,0.0135155
150,0.00344629,0.0110603
6,0.00139717,0.0110579
99,0.00108688,0.0112916
180,0.00188576,0.00933465
52,0.00039043,0.0101065
122,0.00225186,0.00820381
58,0.0014139,0.00841128
167,0.00121919,0.00826467
9,0.000553781,0.00856294
155,0.00214546,0.00687622
179,0.00636369,0.00262956
239,0.00100311,0.00790005
77,0.000587343,0.00808981
196,0.000324669,0.00789143
178,0.000980845,0.00712906
250,0.000898937,0.0071135
5,0.000221012,0.00651112
84,0.000366028,0.00585811
4,0.00238578,0.00383118
138,0.000306485,0.00572786
224,0.000331243,0.00518509
226,0.000493332,0.00468404
159,0.00121032,0.00369827
199,0.00081335,0.00380031
96,0.00378428,0.000803776
207,0.000517799,0.00401557
53,0.000519436,0.00393952
145,0.000278174,0.00388854
166,0.00101515,0.00314695
203,0.000628523,0.00332112
164,0.000437289,0.00314289
115,0.000759753,0.00280182
80,0.000457876,0.00273157
232,9.09954e-05,0.00276625
241,0.000143012,0.00258269
35,0.000510365,0.00221192
208,0.000989905,0.00119093
29,0.000461965,0.00143672
242,0.000648652,0.00108812
110,0.00021504,0.00151378
153,0.000273409,0.00139913
209,0.000187546,0.00145787
190,0.000523884,0.0010822
175,0.000161873,0.00140962
92,0.000158089,0.000948569
172,0.000183855,0.000830545
55,0.000156505,0.000776879
174,0.000183294,0.000704059
14,0.000151504,0.000728506
200,5.95943e-05,0.000780508
248,0.00016819,0.000541596
94,0.00053248,6.35594e-05
176,9.16133e-05,0.00045269
75,3.69075e-05,0.000432003
151,0.000127645,0.000331543
22,6.14461e-05,0.000222189
142,1.30609e-05,0.000198843
33,4.08749e-05,0.00014205
192,1.01284e-05,0.000166588
88,1.87744e-05,0.000126783
86,4.38579e-05,7.56475e-05
23,4.30409e-06,0.00010889
214,9.20085e-06,5.54645e-05
111,1.72105e-05,3.04307e-05
19,1.76126e-05,2.61623e-05
126,4.14926e-06,3.16266e-05
220,1.44595e-05,2.0027e-05
43,1.10674e-05,1.92757e-05
13,2.78362e-06,2.45083e-05
60,1.18414e-05,1.52059e-05
72,1.17862e-05,1.48913e-05
139,3.9555e-06,1.57099e-05
177,2.68927e-06,1.69024e-05
202,5.81559e-06,1.3424e-05
144,3.73805e-06,1.52385e-05
63,3.81011e-06,1.51255e-05
