SourceSubnet,Out_perc,In_perc
219,3.77598e-08,1.53224e-06
218,3.92278e-08,1.50135e-06
211,4.02499e-08,1.48951e-06
188,1.12151e-07,1.41105e-06
107,3.82344e-08,1.48415e-06
254,3.55486e-08,1.47632e-06
182,1.20951e-07,1.39023e-06
216,4.16054e-08,1.4673e-06
136,3.30674e-08,1.4721e-06
194,6.67769e-08,1.43688e-06
71,3.59306e-08,1.46376e-06
252,3.55516e-08,1.46133e-06
205,3.55709e-08,1.45883e-06
244,3.77266e-08,1.44966e-06
61,3.84127e-08,1.44797e-06
237,3.50234e-08,1.44946e-06
148,2.97301e-08,1.45432e-06
69,3.89776e-08,1.44445e-06
27,3.87739e-08,1.44453e-06
201,3.74878e-08,1.44466e-06
30,4.01052e-08,1.44135e-06
158,3.76195e-08,1.44348e-06
147,2.70582e-08,1.45385e-06
210,3.27791e-08,1.44378e-06
28,3.38462e-08,1.44073e-06
186,4.04624e-08,1.43349e-06
247,3.1154e-08,1.43835e-06
95,3.92421e-08,1.42486e-06
137,3.50551e-08,1.42887e-06
62,3.21295e-08,1.43177e-06
231,3.49015e-08,1.42895e-06
253,3.52018e-08,1.42583e-06
67,3.78851e-08,1.42163e-06
78,4.08127e-08,1.41795e-06
32,3.58003e-08,1.42257e-06
36,3.71727e-08,1.42031e-06
64,3.68095e-08,1.41677e-06
251,3.33374e-08,1.41827e-06
255,3.59945e-08,1.41248e-06
240,3.44903e-08,1.41374e-06
152,2.79346e-08,1.41689e-06
140,3.56625e-08,1.40842e-06
76,3.21593e-08,1.41012e-06
162,2.60237e-08,1.41495e-06
238,2.74951e-08,1.39256e-06
