Rank,Week,TargetSubnet,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts,Difference,Color
127,Sept 2021,164,3,3685112,2182216,5867328,1,1,3,1,1502896,Out > In
128,Sept 2021,199,4,5680331,81228,5761559,2,2,4,1,5599103,Out > In
129,Sept 2021,153,1,1142757,3821392,4964149,1,1,1,1,2678635,In > Out
130,Sept 2021,156,14,2134690,938783,3073473,12,2,9,2,1195907,Out > In
131,Sept 2021,196,22,2293814,191496,2485310,10,15,22,2,2102318,Out > In
132,Sept 2021,166,1,938314,1258009,2196323,1,1,1,1,319695,In > Out
133,Sept 2021,92,7,885236,922347,1807583,6,1,4,1,37111,In > Out
134,Sept 2021,239,5,1686946,64641,1751587,5,2,5,2,1622305,Out > In
135,Sept 2021,230,4,861421,21900,883321,2,1,4,1,839521,Out > In
136,Sept 2021,1,5,393954,403465,797419,3,1,4,1,9511,In > Out
137,Sept 2021,26,5,391303,375995,767298,1,1,5,1,15308,Out > In
138,Sept 2021,34,4,326452,391468,717920,3,1,4,1,65016,In > Out
139,Sept 2021,9,2,256027,435818,691845,2,1,2,1,179791,In > Out
140,Sept 2021,191,3,383415,195012,578427,2,2,3,1,188403,Out > In
141,Sept 2021,222,1,26689,388130,414819,1,1,1,1,361441,In > Out
142,Sept 2021,176,2,343932,18710,362642,2,1,2,1,325222,Out > In
143,Sept 2021,75,3,333096,25477,358573,3,1,3,1,307619,Out > In
144,Sept 2021,145,2,178041,153572,331613,2,2,2,1,24469,Out > In
145,Sept 2021,102,2,194652,116594,311246,2,1,2,1,78058,Out > In
146,Sept 2021,178,1,13228,231880,245108,1,1,1,1,218652,In > Out
147,Sept 2021,33,1,88,167724,167812,1,1,1,1,167636,In > Out
148,Sept 2021,108,1,64300,62980,127280,1,1,1,1,1320,Out > In
149,Sept 2021,203,1,3370,110267,113637,1,1,1,1,106897,In > Out
150,Sept 2021,248,1,48274,62975,111249,1,1,1,1,14701,In > Out

