Rank,Week,SourceSubnet,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts,Difference,Color
68,Feb 2020,29,16799,2550571405,33334622917,35885194322,19,2231,11053,39,30784051512,1
69,Feb 2020,156,9884,22483741342,13080488820,35564230162,29,1226,7372,18,9403252522,2
70,Feb 2020,150,21521,11376264408,23349881949,34726146357,32,2241,10495,5078,11973617541,1
71,Feb 2020,45,3877,1739933580,32526774095,34266707675,2,858,3450,111,30786840515,1
72,Feb 2020,170,15381,2817237858,30827770379,33645008237,42,2010,10490,16,28010532521,1
73,Feb 2020,89,17930,4235839754,28546467243,32782306997,54,2136,11105,28,24310627489,1
74,Feb 2020,82,11161,1095227152,31619705500,32714932652,43,1713,8525,30,30524478348,1
75,Feb 2020,179,9696,5219194373,26760942659,31980137032,19,2199,5871,2096,21541748286,1
76,Feb 2020,154,10934,4331714241,27123744658,31455458899,41,1341,9260,29,22792030417,1
77,Feb 2020,92,15960,4623931684,26756104830,31380036514,67,1226,10108,30,22132173146,1
78,Feb 2020,110,1983,222865638,26640843445,26863709083,4,435,1859,3,26417977807,1
79,Feb 2020,122,8142,6486472490,18913588239,25400060729,14,1223,5781,639,12427115749,1
80,Feb 2020,83,13480,2099773694,19491844021,21591617715,25,1915,9249,19,17392070327,1
81,Feb 2020,241,11039,3358941474,18023218282,21382159756,19,876,8683,7,14664276808,1
82,Feb 2020,54,8879,529862019,20531224554,21061086573,108,742,7402,2,20001362535,1
83,Feb 2020,236,10881,4798935540,15359649071,20158584611,1,1935,8676,36,10560713531,1
84,Feb 2020,80,5353,613823014,19187964081,19801787095,8,1011,4661,17,18574141067,1
85,Feb 2020,208,1646,18016611497,1713137117,19729748614,50,124,1598,2,16303474380,2
86,Feb 2020,52,5979,1021862116,16895233753,17917095869,44,1140,5137,21,15873371637,1
87,Feb 2020,141,7404,4250132533,11286258979,15536391512,37,1314,5671,6,7036126446,1
88,Feb 2020,224,5515,2378235542,12987973317,15366208859,15,601,5019,5,10609737775,1
89,Feb 2020,196,5391,548456674,14238757490,14787214164,23,574,4329,8,13690300816,1
90,Feb 2020,153,14959,3092916896,10838961788,13931878684,11,782,10042,10,7746044892,1
91,Feb 2020,146,9860,861837979,11302241801,12164079780,23,1669,7303,227,10440403822,1
92,Feb 2020,180,10188,1182740786,9466014650,10648755436,34,941,7597,6,8283273864,1
93,Feb 2020,84,6678,552677371,10031003337,10583680708,1,949,5513,5,9478325966,1
94,Feb 2020,155,4217,4411151857,5316358244,9727510101,29,1161,776,3298,905206387,1
95,Feb 2020,55,2889,1162433016,8043707686,9206140702,9,549,2736,6,6881274670,1
96,Feb 2020,209,483,96924123,9062426163,9159350286,8,99,477,3,8965502040,1
97,Feb 2020,77,3859,464432885,8130633378,8595066263,5,602,2763,15,7666200493,1
98,Feb 2020,63,6415,611822468,7890299226,8502121694,14,670,5523,4,7278476758,1
99,Feb 2020,159,11737,2174643747,6286479009,8461122756,26,1042,8440,38,4111835262,1
100,Feb 2020,191,5825,583284444,7679791160,8263075604,9,577,4800,6,7096506716,1
101,Feb 2020,106,1023,210098516,8036419832,8246518348,1,219,999,2,7826321316,1
102,Feb 2020,100,11070,1774969260,6342483137,8117452397,19,964,8080,59,4567513877,1
103,Feb 2020,58,3119,827874901,7040856409,7868731310,9,751,2805,10,6212981508,1
104,Feb 2020,167,6914,1127801593,6638261039,7766062632,20,919,5584,21,5510459446,1
105,Feb 2020,145,4621,166948819,7158773532,7325722351,27,324,3997,2,6991824713,1
106,Feb 2020,173,2916,357983909,6959263543,7317247452,8,657,2689,4,6601279634,1
107,Feb 2020,239,2199,1004028584,5958375432,6962404016,26,381,1840,5,4954346848,1
108,Feb 2020,166,5833,1337854263,5436694788,6774549051,24,1048,4929,6,4098840525,1
109,Feb 2020,115,5264,1007081520,4946996533,5954078053,27,592,4515,8,3939915013,1
110,Feb 2020,120,4797,606991224,5293230579,5900221803,12,714,4271,3,4686239355,1
111,Feb 2020,144,9195,743505893,4843690675,5587196568,14,1191,7084,5,4100184782,1
112,Feb 2020,14,2803,205913294,5376570676,5582483970,10,462,2633,99,5170657382,1
113,Feb 2020,59,1725,3857384655,1351469305,5208853960,5,120,1634,141,2505915350,2
114,Feb 2020,9,3043,255859915,4823036725,5078896640,18,697,2808,4,4567176810,1
115,Feb 2020,212,42,3652685937,501587066,4154273003,1,37,1,42,3151098871,2
116,Feb 2020,57,940,2393773035,1481939559,3875712594,20,146,921,5,911833476,2
117,Feb 2020,175,604,355440324,3500834405,3856274729,3,138,597,41,3145394081,1
118,Feb 2020,138,2035,73139644,3742886754,3816026398,6,293,1789,2,3669747110,1
119,Feb 2020,6,3354,384754766,3310166210,3694920976,10,718,3064,4,2925411444,1
120,Feb 2020,190,2656,38669882,3015071122,3053741004,31,107,2258,216,2976401240,1
121,Feb 2020,75,1980,199072898,2208140314,2407213212,5,219,1903,3,2009067416,1
122,Feb 2020,81,359,1120761400,1117028104,2237789504,10,42,357,4,3733296,2
123,Feb 2020,203,2301,383728652,1735252612,2118981264,8,461,2165,4,1351523960,1
124,Feb 2020,214,2541,133285586,1960564611,2093850197,6,392,2404,3,1827279025,1
125,Feb 2020,164,2241,149685306,1818205238,1967890544,16,518,2158,5,1668519932,1
126,Feb 2020,183,1217,345949388,1609893453,1955842841,8,168,970,4,1263944065,1
127,Feb 2020,0,1161,79167194,1685577311,1764744505,1,262,1140,3,1606410117,1
128,Feb 2020,207,1102,358019081,1139137717,1497156798,8,346,910,151,781118636,1
129,Feb 2020,200,1909,79661261,1361795642,1441456903,35,89,1845,3,1282134381,1
130,Feb 2020,174,780,94285429,1288030019,1382315448,4,231,667,3,1193744590,1
131,Feb 2020,176,1271,76283381,1167850830,1244134211,6,404,1227,3,1091567449,1
132,Feb 2020,157,6,874656181,206029085,1080685266,1,2,6,5,668627096,2
133,Feb 2020,11,1170,91473426,806642395,898115821,8,319,1165,2,715168969,1
