SourceSubnet,Out_perc,In_perc
247,1.62941e-07,4.30909e-06
42,3.94147e-07,4.07624e-06
238,1.44409e-07,4.30265e-06
254,1.36765e-07,4.30432e-06
61,1.04449e-07,4.33455e-06
39,4.46003e-07,3.98665e-06
69,1.16375e-07,4.31083e-06
135,4.53457e-07,3.9712e-06
87,1.44901e-07,4.27761e-06
218,1.43424e-07,4.2687e-06
93,3.02302e-07,4.09678e-06
17,1.33448e-07,4.25969e-06
255,1.50285e-07,4.23515e-06
162,1.53689e-07,4.23123e-06
30,8.61124e-08,4.29724e-06
36,9.43145e-08,4.28494e-06
78,1.09422e-07,4.25938e-06
137,1.39151e-07,4.15151e-06
8,1.2742e-07,4.15229e-06
62,9.93374e-08,4.16595e-06
76,1.3028e-07,4.11823e-06
148,1.42358e-07,4.10284e-06
15,1.44222e-07,4.09976e-06
158,1.44931e-07,4.07853e-06
32,9.13477e-08,4.11606e-06
71,9.24627e-08,4.10131e-06
64,1.06552e-07,4.08258e-06
95,1.33488e-07,4.04349e-06
140,1.50667e-07,3.97165e-06
136,1.3026e-07,3.91589e-06
24,1.10019e-07,3.9313e-06
27,8.78062e-08,3.90031e-06
31,9.73389e-08,3.86575e-06
152,1.43541e-07,3.75971e-06
