SourceSubnet,Conns,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
226,363960,1483580166,14086134247,15569714413,256,5061,63390,1828
159,392768,3639737984,11121672408,14761410392,256,8467,63564,2917
199,3615268,2445957687,11428547287,13874504974,256,470989,64122,10548
96,815917,11380325475,2417165852,13797491327,256,25228,64096,37834
207,407354,1557158264,12075864355,13633022619,256,10255,63869,2957
53,516820,1562081082,11847160844,13409241926,256,9929,64242,8580
145,486843,836542320,11693870542,12530412862,256,8740,63951,7348
166,314523,3052813629,9463711593,12516525222,256,8175,63442,2311
203,371426,1890134496,9987493157,11877627653,256,6192,63368,993
164,361127,1315043391,9451483907,10766527298,256,10406,63948,4201
115,382953,2284777315,8425810874,10710588189,256,7542,63387,1713
80,321714,1376952361,8214548119,9591500480,256,8347,63650,2673
232,247501,273647241,8318838564,8592485805,256,4809,63170,1732
241,277052,430075348,7766833342,8196908690,256,5220,63612,897
35,1460949,1534802637,6651830315,8186632952,256,4201,64305,2150
208,456115,2976906180,3581438074,6558344254,256,6598,63760,1267
29,326184,1389248950,4320609215,5709858165,256,7246,63479,1792
242,428781,1950666561,3272252560,5222919121,256,14725,64020,16167
110,295247,646682772,4552335415,5199018187,256,6755,63597,2137
153,263309,822211934,4207557763,5029769697,256,5314,63529,1640
209,581537,564001602,4384193977,4948195579,256,10331,64291,5838
190,2679359,1575457239,3254468065,4829925304,256,31016,64318,11511
175,294321,486794177,4239102791,4725896968,256,5413,63286,3124
92,256103,475416245,2852597947,3328014192,256,4788,63373,1848
172,537399,552899468,2497668382,3050567850,256,4612,63477,2162
55,348247,470651594,2336278543,2806930137,256,7228,63800,969
174,278491,551214184,2117291886,2668506070,256,5001,63485,2462
14,249532,455612640,2190809571,2646422211,256,2650,63230,894
200,251942,179215835,2347192718,2526408553,256,2593,63649,1034
248,276311,505791507,1628720313,2134511820,256,4942,63387,2247
94,272629,1601308297,191139733,1792448030,256,5674,63325,6230
176,259536,275505302,1361357482,1636862784,256,6874,63142,3439
75,258362,110990632,1299147333,1410137965,256,4461,63151,1670
151,245316,383861945,997035903,1380897848,256,5075,63005,4769
22,262698,184784637,668181318,852965955,256,4838,63174,2138
142,317696,39277486,597974519,637252005,256,5315,63209,2821
33,2693181,122921520,427182319,550103839,256,17836,64900,63009
192,280238,30458809,500972870,531431679,256,3862,62692,948
88,226395,56459665,381269862,437729527,256,1923,63021,900
86,498558,131892231,227491947,359384178,256,13308,63439,2870
23,234064,12943542,327459891,340403433,256,2900,62917,1606
214,245859,27669381,166796295,194465676,256,5010,63061,2231
111,221747,51756456,91513273,143269729,256,2490,62640,1043
19,681279,52965721,78676822,131642543,256,21862,64075,31653
126,269896,12477917,95109414,107587331,256,7160,63178,5647
220,377846,43483657,60226421,103710078,256,12597,63713,4615
43,234607,33282469,57966962,91249431,256,3442,62716,1641
13,251281,8371079,73702893,82073972,256,4722,63075,2582
60,602256,35610073,45728136,81338209,256,21276,63946,28423
72,566509,35444173,44782134,80226307,256,21643,63944,28491
139,322691,11895226,47243942,59139168,256,7448,63244,7280
177,242400,8087347,50829974,58917321,256,4661,62854,2359
202,389137,17489021,40369572,57858593,256,14525,63684,16972
144,313532,11241313,45826224,57067537,256,7137,63201,7632
63,347065,11457991,45486234,56944225,256,7156,63185,7133
183,257775,6988009,47179923,54167932,256,6244,62993,4093
38,348350,13394774,40015373,53410147,256,12632,63499,12867
97,334262,8560401,42081609,50642010,256,6118,62908,5710
230,225733,5971038,42021018,47992056,256,2838,62744,3111
26,218226,3071711,43823370,46895081,256,1977,62705,937
140,217773,707635,45979139,46686774,256,2057,62726,1119
157,227189,4050863,40792236,44843099,256,1942,62800,940
39,222288,5090086,38890044,43980130,256,2603,62648,2854
0,243272,3969397,39807821,43777218,256,4673,62815,4717
216,218889,5021965,38199652,43221617,256,2247,62678,2752
21,244512,4331687,37956042,42287729,256,5162,62902,2640
37,256231,4073043,37988199,42061242,256,6218,62964,3480
45,233202,1951805,39490742,41442547,256,4029,62848,4270
93,232611,1878281,39440708,41318989,256,3381,62969,4529
223,231764,2032144,39249253,41281397,256,3325,62925,4549
12,240658,2475015,38699381,41174396,256,2651,62701,897
1,219619,752279,40338915,41091194,256,2003,62698,1345
193,242785,2797295,38264291,41061586,256,4531,62835,2676
34,243417,2980384,38059077,41039461,256,4736,62917,2626
121,228016,1443214,39090707,40533921,256,3588,62693,1661
59,245803,3118663,37410551,40529214,256,4687,62765,2791
3,235944,2076285,38108243,40184528,256,4010,62784,2590
11,219444,1263959,38882452,40146411,256,2041,62710,860
