Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
Identical_ness_day0 1.00 0.15 0.15 0.15 0.05 0.05 0.25 0.15 0.15 0.20 0.05 0.20 0.25 0.10 0.10 0.05
Identical_ness_pre 0.00 0.15 0.25 0.30 0.10 0.10 0.05 0.20 0.10 0.30 0.05 0.00 0.10 0.00 0.25 0.10
Set_similarity_day0 1.00 0.45 0.55 0.45 0.55 0.55 0.45 0.55 0.50 0.55 0.55 0.50 0.55 0.45 0.50 0.50
Set_similarity_pre 0.00 0.45 0.50 0.55 0.40 0.55 0.55 0.50 0.55 0.55 0.55 0.55 0.55 0.50 0.60 0.55
Absolute_rank_diff_day0 0.00 0.60 1.15 0.95 1.95 1.50 0.65 0.85 0.60 1.05 1.05 0.70 0.70 0.60 0.55 1.05
Absolute_rank_diff_pre 0.00 0.60 0.50 1.00 0.85 1.35 1.15 0.55 1.30 1.05 1.10 1.65 1.00 1.05 1.20 1.55
Relative_rank_diff_day0 0.00 0.08 0.12 0.12 0.27 0.22 0.08 0.10 0.08 0.13 0.20 0.07 0.09 0.14 0.13 0.20
Relative_rank_diff_pre 0.00 0.08 0.08 0.10 0.12 0.15 0.15 0.09 0.14 0.08 0.25 0.25 0.14 0.20 0.16 0.18
