Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
Identical_ness_day0 1.00 0.35 0.35 0.20 0.30 0.10 0.15 0.20 0.25 0.15 0.35 0.20 0.10 0.10 0.20 0.15
Identical_ness_pre 0.00 0.35 0.45 0.45 0.35 0.25 0.45 0.50 0.30 0.15 0.15 0.45 0.30 0.55 0.35 0.30
Set_similarity_day0 1.00 0.95 0.90 0.85 0.90 0.90 0.90 0.85 0.85 0.85 0.90 0.85 0.90 0.90 0.85 0.90
Set_similarity_pre 0.00 0.95 0.95 0.95 0.95 1.00 1.00 0.90 0.95 0.90 0.95 0.90 0.85 1.00 0.95 0.95
Absolute_rank_diff_day0 0.00 1.35 1.15 1.45 1.85 1.60 1.45 1.35 1.30 1.75 1.55 1.65 1.70 2.20 1.35 1.65
Absolute_rank_diff_pre 0.00 1.35 1.60 0.80 0.70 1.10 0.70 1.15 1.05 1.55 1.30 0.70 0.80 0.90 1.15 1.05
Relative_rank_diff_day0 0.00 0.13 0.13 0.18 0.20 0.20 0.18 0.16 0.18 0.23 0.18 0.29 0.21 0.30 0.17 0.22
Relative_rank_diff_pre 0.00 0.13 0.12 0.09 0.09 0.11 0.07 0.08 0.15 0.21 0.16 0.16 0.20 0.13 0.14 0.15
