Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
udp/51457 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0
udp/43677 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0
udp/55873 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0
udp/51830 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0
udp/51413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0
udp/58149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
udp/50463 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/62279 0 17 0 0 0 0 0 0 0 0 0 0 20 0 0 0
udp/63142 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0
tcp/44888 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0
udp/62744 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0
udp/50390 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0
udp/62094 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0
udp/16297 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0
udp/65027 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0
tcp/55672 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0
udp/51148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0
udp/33390 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
udp/64210 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tcp/39488 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/59207 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0
tcp/52954 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0
tcp/5061 0 0 0 0 0 18 0 0 0 19 0 20 0 0 0 19
udp/40704 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0
udp/64103 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0
udp/54886 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0
tcp/58441 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0
udp/55175 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0
udp/63946 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0
tcp/20014 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/61710 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/18222 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0
udp/55959 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0
udp/52149 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0
udp/40559 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
udp/42776 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0
udp/11239 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0
udp/64300 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0
udp/50974 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0
udp/9304 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/21806 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/43076 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0
tcp/64402 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0
tcp/40110 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0
udp/55018 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0
udp/64595 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0
tcp/9000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20
