Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
Identical_ness_day0 1.00 0.15 0.10 0.10 0.10 0.10 0.25 0.15 0.20 0.10 0.15 0.25 0.20 0.10 0.15 0.25
Identical_ness_pre 0.00 0.15 0.20 0.35 0.15 0.25 0.30 0.50 0.20 0.10 0.40 0.15 0.15 0.10 0.15 0.10
Set_similarity_day0 1.00 0.90 0.85 0.90 0.85 0.80 0.80 0.80 0.80 0.85 0.90 0.90 0.90 0.80 0.80 0.90
Set_similarity_pre 0.00 0.90 0.90 0.95 0.95 0.90 0.90 0.85 0.95 0.90 0.95 0.95 0.95 0.90 0.95 0.90
Absolute_rank_diff_day0 0.00 1.50 1.60 3.15 2.20 2.20 1.75 1.55 1.70 1.80 2.30 2.05 2.30 2.05 2.05 2.05
Absolute_rank_diff_pre 0.00 1.50 1.35 2.10 2.70 1.20 1.20 0.80 1.30 1.50 0.85 2.00 2.05 2.60 1.45 1.55
Relative_rank_diff_day0 0.00 0.20 0.29 0.46 0.25 0.27 0.20 0.17 0.21 0.21 0.26 0.20 0.25 0.36 0.27 0.22
Relative_rank_diff_pre 0.00 0.20 0.19 0.21 0.33 0.12 0.14 0.06 0.13 0.18 0.08 0.24 0.25 0.31 0.22 0.30
