day,direction,protocol,state,connections
2023-01-03,inbound,tcp,SH,11076199
2023-01-03,outbound,tcp,REJ,17622
2023-01-03,inbound,tcp,RSTO,1802286
2023-01-03,internal,tcp,RSTRH,11840
2023-01-03,internal,udp,SHR,145700
2023-01-03,inbound,tcp,RSTR,692200
2023-01-03,outbound,tcp,RSTOS0,65247245
2023-01-03,outbound,tcp,RSTRH,22651817
2023-01-03,outbound,udp,SHR,100799344
2023-01-03,inbound,tcp,RSTOS0,33382966
2023-01-03,internal,tcp,OTH,525215
2023-01-03,outbound,tcp,OTH,53815556
2023-01-03,outbound,udp,S0,2348401725
2023-01-03,inbound,tcp,SHR,23279505
2023-01-03,outbound,icmp,OTH,160091720
2023-01-03,internal,tcp,RSTOS0,34603
2023-01-04,inbound,tcp,RSTRH,3982884
2023-01-04,outbound,tcp,S0,99658321
2023-01-04,outbound,tcp,S1,2990300
2023-01-04,outbound,tcp,S2,1536976
2023-01-04,outbound,tcp,S3,1924031
2023-01-04,internal,udp,OTH,1250
2023-01-04,inbound,tcp,REJ,9795
2023-01-04,outbound,udp,SF,690203
2023-01-04,outbound,udp,OTH,19306627
2023-01-04,outbound,tcp,SF,26073416
2023-01-04,outbound,tcp,SH,10932476
2023-01-04,inbound,udp,SHR,27520279
2023-01-04,outbound,tcp,RSTO,5240914
2023-01-04,outbound,tcp,RSTR,2539883
2023-01-04,internal,icmp,OTH,1889360
2023-01-04,inbound,tcp,OTH,17315753
2023-01-04,internal,udp,S0,385100
2023-01-04,internal,tcp,S0,534255
2023-01-04,internal,tcp,S1,4617
2023-01-04,inbound,udp,S0,2348117727
2023-01-04,internal,tcp,S2,4242
2023-01-04,internal,tcp,S3,3220
2023-01-04,inbound,tcp,S0,877473236
2023-01-04,inbound,tcp,S1,298652
2023-01-04,internal,tcp,SHR,43390
2023-01-04,inbound,tcp,S2,313649
2023-01-04,inbound,tcp,S3,184306
2023-01-04,internal,udp,SF,560
2023-01-04,outbound,tcp,SHR,39269982
2023-01-04,internal,tcp,RSTO,6441
2023-01-04,inbound,icmp,OTH,174841140
2023-01-04,internal,tcp,RSTR,14457
2023-01-04,inbound,udp,OTH,24855393
2023-01-04,internal,tcp,SF,182455
2023-01-04,inbound,udp,SF,191091
2023-01-04,internal,tcp,SH,157400
2023-01-04,internal,tcp,REJ,10
2023-01-04,inbound,tcp,SF,12183200
2023-01-04,inbound,tcp,SH,9967018
2023-01-04,outbound,tcp,REJ,11819
2023-01-04,inbound,tcp,RSTO,1616252
2023-01-04,internal,tcp,RSTRH,11693
