Days 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
1041 0 76 65 0 0 0 37 0 71 66 0 53 60 0 85
1045 0 92 0 59 0 0 0 37 0 95 78 0 80 0 43
1057 82 0 62 0 86 0 100 0 37 0 80 0 54 0 0
1064 40 0 0 57 0 0 76 0 52 37 0 99 0 89 81
1028 79 74 48 0 44 0 0 0 56 74 0 37 0 91 89
4070 0 0 0 0 0 81 0 0 0 0 0 0 37 0 99
1101 0 94 89 0 0 0 0 91 97 0 85 0 77 0 37
996 38 0 80 93 0 0 0 72 0 51 0 93 0 47 0
7779 0 38 56 84 0 47 71 90 79 63 65 61 52 86 62
997 0 0 63 0 38 46 0 87 0 52 76 0 75 0 0
5010 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0
5051 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0
2020 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0
21025 98 0 0 47 0 0 44 0 0 38 0 0 45 0 0
1054 0 0 86 0 0 0 65 0 48 55 0 91 38 0 77
1069 39 68 0 48 0 0 0 0 74 89 0 0 0 66 0
2000 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0
626 0 60 0 0 59 0 39 0 0 0 41 0 0 0 0
129 92 0 87 0 78 0 70 0 65 47 0 73 0 39 0
1284 0 88 88 0 64 0 0 51 92 0 57 0 91 0 39
139 41 40 0 0 0 62 0 89 0 48 0 49 76 0 0
1055 0 81 0 40 0 91 0 65 0 81 51 0 94 0 0
136 0 0 54 83 0 51 0 40 86 0 0 0 66 72 0
1027 0 86 77 0 45 0 0 74 78 0 92 0 40 77 88
7780 0 41 64 86 0 53 81 50 90 53 87 83 64 87 65
16403 0 64 41 49 67 75 0 99 0 0 0 0 0 0 0
1051 0 0 0 41 0 0 0 49 0 75 66 0 87 0 47
1030 0 0 0 69 95 0 0 41 0 0 74 0 69 0 66
515 63 0 97 52 100 95 0 71 0 41 62 0 43 0 0
10000 0 0 0 0 88 0 69 0 0 0 0 41 0 0 0
27018 85 0 0 0 0 0 0 0 0 0 0 0 41 0 0
3671 62 75 0 53 74 86 0 82 93 0 46 57 95 41 0
27017 0 0 42 0 0 74 0 0 0 0 0 0 84 0 73
518 0 0 82 0 42 0 49 0 75 0 58 68 0 73 0
158 0 0 66 77 0 42 0 58 0 0 83 0 48 80 0
999 73 0 58 60 0 0 42 0 55 59 0 100 0 51 0
120 100 0 84 94 96 85 0 42 96 0 0 0 74 78 0
9600 0 0 67 74 0 0 0 0 0 0 42 0 0 0 79
1083 0 0 73 0 0 0 0 76 81 0 0 0 42 0 53
4800 0 0 0 0 0 0 50 95 0 0 0 0 0 42 0
6144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42
1067 43 51 0 65 0 89 0 92 0 94 0 64 51 0 46
1068 0 0 43 0 50 0 0 0 89 0 0 0 49 0 0
1060 0 77 0 43 0 98 0 57 0 97 97 0 73 0 80
1022 0 0 81 0 43 0 0 83 0 92 96 0 65 0 50
1031 93 0 100 0 81 0 45 0 43 0 0 63 0 74 0
