Days 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
Identical_ness_day0 1.00 0.05 0.06 0.07 0.05 0.04 0.03 0.05 0.05 0.06 0.09 0.02 0.03 0.05 0.03
Identical_ness_pre 0.00 0.05 0.04 0.07 0.04 0.03 0.06 0.05 0.05 0.08 0.06 0.04 0.07 0.06 0.04
Set_similarity_day0 1.00 0.50 0.57 0.63 0.51 0.51 0.52 0.53 0.61 0.66 0.50 0.58 0.50 0.67 0.45
Set_similarity_pre 0.00 0.50 0.52 0.59 0.54 0.49 0.46 0.44 0.52 0.56 0.61 0.49 0.59 0.53 0.53
Absolute_rank_diff_day0 0.00 6.98 9.33 10.56 7.19 9.31 8.87 8.60 11.14 12.72 7.19 11.08 9.68 12.10 7.33
Absolute_rank_diff_pre 0.00 6.98 7.05 8.37 6.48 5.12 7.04 5.23 6.91 6.90 10.45 4.47 8.92 7.32 8.32
Relative_rank_diff_day0 0.00 0.23 0.27 0.31 0.24 0.31 0.28 0.26 0.32 0.38 0.22 0.35 0.29 0.34 0.25
Relative_rank_diff_pre 0.00 0.23 0.22 0.27 0.22 0.18 0.33 0.17 0.22 0.20 0.28 0.14 0.22 0.22 0.33
