Days 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
Identical_ness_day0 1.00 0.09 0.06 0.08 0.08 0.05 0.04 0.02 0.05 0.04 0.03 0.03 0.04 0.05 0.02
Identical_ness_pre 0.00 0.09 0.04 0.08 0.05 0.06 0.04 0.06 0.07 0.03 0.08 0.04 0.07 0.06 0.05
Set_similarity_day0 1.00 0.71 0.73 0.72 0.77 0.75 0.70 0.75 0.66 0.76 0.75 0.76 0.73 0.77 0.71
Set_similarity_pre 0.00 0.71 0.72 0.71 0.73 0.78 0.75 0.69 0.69 0.70 0.82 0.80 0.78 0.79 0.70
Absolute_rank_diff_day0 0.00 7.26 8.01 9.52 10.79 9.70 8.38 10.11 10.45 8.15 11.71 8.38 12.04 9.69 12.51
Absolute_rank_diff_pre 0.00 7.26 8.88 9.33 11.25 9.57 8.14 8.11 8.64 10.99 9.62 12.02 12.32 11.75 11.05
Relative_rank_diff_day0 0.00 0.17 0.22 0.23 0.29 0.27 0.26 0.29 0.33 0.23 0.34 0.26 0.38 0.31 0.36
Relative_rank_diff_pre 0.00 0.17 0.22 0.24 0.26 0.25 0.22 0.20 0.23 0.31 0.23 0.29 0.31 0.29 0.27
